특허명 TEXT,IPC넘버,출원인  NGRAM,출원번호 NUMERIC,출원날짜DATETIME,등록번호 NUMERIC,등록일자DATETIME,공개번호 NUMERIC,공개일자 DATETIME,대리인 NGRAM,발명가 KEYWORD,설명, STORED,,,,
기상 및 계절 정보를 이용한 딥러닝 기반의 장시간 태양광 발전량을 예측하는 전자 장치 및 그의 동작 방법(ELECTRONIC DEVICE FOR PREDICTING LONG-TERM PHOTOVOLTAIC POWER GENERATION USING METEOROLOGICAL AND SEASONAL INFORMATION BASED ON DEEP LEARNING AND OPERATING METHOD THEREOF),['G06N 3/08 H02S 50/00 '],인천대학교 산학협력단,1020180129722, 2018.10.29,, ,1020200052432, 2020.05.15,김효성,김관호 이동훈,"본 발명은 기상 및 계절 정보를 이용한 딥러닝 기반의 장시간 태양광 발전량을 예측하는 전자 장치 및 그의 동작 방법에 관한 것이다. 본 문서에 개시된 다양한 실시 예들에 따라 기상 및 계절 정보를 이용한 딥러닝 기반의 장시간 태양광 발전량을 예측하는 전자 장치는, 외부로부터 수신된 기상 정보 및 계절 정보를 저장하는 저장부, 상기 기상 정보 및 상기 계절 정보 각각의 개수가 미리 설정된 임계치 이상인 것에 응답하여, 상기 기상 정보 및 상기 계절 정보를 이용하여 태양광의 예상 발전량을 계산하는데 이용되는 적어도 하나의 모델에 설정할 하나 이상의 변수들의 값들을 결정하는 모델 관리부, 상기 결정된 하나 이상의 변수들을 상기 적어도 하나의 모델에 설정한 후, 상기 기상 정보 및 상기 계절 정보를 이용하여 상기 적어도 하나의 모델에 대한 학습을 미리 설정된 횟수만큼 진행하는 모델 학습부 및 상기 미리 설정된 횟수만큼 학습이 진행된 적어도 하나의 모델을 이용하여 상기 태양광의 예상 발전량을 계산하는 발전량 계산부를 포함할 수 있다.",,,,,
지연회로 없이 송신 신호에 대한 피드 포워드 이퀄라이징이 가능한 데이터 송신 장치 및 그 동작 방법(DATA TRANSMISSION APPARATUS CAPABLE OF FEED FORWARD EQUALIZATION FOR A TRANSMISSION SIGNAL WITHOUT A DELAY CIRCUIT AND OPERATING METHOD THEREOF),['H04L 25/03'],인천대학교 산학협력단,1020190062013, 2019.05.27,1021120440000, 2020.05.12, , ,김효성,송준영 유지훈 김완준,"지연회로 없이 송신 신호에 대한 피드 포워드 이퀄라이징이 가능한 데이터 송신 장치 및 그 동작 방법이 개시된다. 본 발명에 따른 데이터 송신 장치 및 그 동작 방법은 n(n은 2이상의 자연수)개의 D플립플롭(flip-flop)들을 통해 송신 데이터를 1비트씩 클럭 위상에 따라 병렬적으로 지연 출력하고, n개의 로테이팅 탭(Rotating-tap)들을 통해 상기 n개의 D플립플롭들에서 출력되는 n비트의 송신 데이터들을 서로 다른 순서에 따라 순차적으로 1비트씩 출력함으로써, 송신 데이터에 대한 시간 지연된 데이터들을 만들 수 있어, 별도의 지연 회로의 구성 없이도 피드 포워드 이퀄라이저(Feed Forward Equalizer: FFE)의 기능을 구현할 수 있다.",,,,,
스마트 전기 레인지를 이용한 요리 정보 제공 시스템(System for Providing Cooking Information Using Smart Electric Range),"['G06Q 50/12 H05B 6/64  .... ', 'G06Q 50/12|H05B 6/64|H05B 3/68|F24C 7/08']",인천대학교 산학협력단,1020180136427, 2018.11.08,, ,1020200053167, 2020.05.18,특허법인충정,박재현 김지원 김희주 이종흔 임재혁 전한별,"스마트 전기 레인지를 이용한 요리 정보 제공 시스템은 사용자 단말기, 스마트 전기 레인지가 서버에 접속하여 음식에 관한 레시피 정보를 검색하여 제공받고, 레시피 정보를 신규로 만드는 경우, 신규 레시피 정보를 저장하여 추후 재검색이 가능하도록 하여 요리 초보자도 편리하게 음식을 요리할 수 있는 효과가 있다.",,,,,
"나노 팁 구조와 나노 와이어를 갖는 저항성 메모리 소자 및 이를 이용한 메모리 어레이와 그 제조방법(RESISTIVE RANDOM ACCESS MEMORY DEVICE HAVING NANO-SCALE TIP AND NANOWIRE, MEMORY ARRAY USING THE SAME AND FABRICATION METHOD THEREOF)",['H01L 27/115'],서울대학교산학협력단 인천대학교 산학협력단,1020140179562, 2014.12.12,1016245650000, 2016.05.20,1020160043884, 2016.04.22,권오준,박병국 진성훈 정성헌 김민휘,"본 발명은 나노 팁 구조와 나노 와이어를 갖는 저항성 메모리 소자 및 이를 이용한 메모리 어레이와 그 제조방법에 관한 것으로, 반도체 기판을 식각하여 위로 갈수록 뾰족하게 돌출된 팁 구조를 갖는 하부전극으로 하고, 나노 와이어를 상부전극으로 하여 서로 교차하는 위치에 저항성 메모리 소자가 형성되도록 함으로써, 각 메모리 셀의 면적을 극소화하고 상부전극과 교차 되는 하부전극에 전계가 집중되도록 하는 기술을 제공한다.",,,,,
대규모 센서 네트워크를 위한 이벤트 감지 성능 보장 최적 센서 노드 배치 방법(SENSOR NODE DEPLOYMENT METHOD FOR EVENT DETECTION PERFORMANCE GUARANTEE OF LARGER SCALE SENSOR NETWORKS),"['H04L 12/24 H04W 16/20  .... ', 'H04L 12/24|H04W 16/20|H04W 84/18']",한국과학기술원 인천대학교 산학협력단,1020120023322, 2012.03.07,1013578820000, 2014.01.24,1020130102242, 2013.09.17,특허법인 무한,김훈 최윤범 이호원 이수빈 함명원 박준영,센서 노드 배치 방법이 개시된다. 센서 네트워크를 구성하기 위하여 센서 노드를 배치하는 방법은 각 센서 노드의 이벤트 전달 성능과 이벤트 감지 성능이 100% 만족되도록 상기 센서 네트워크가 구성될 영역의 GIS(Geographic Information System) 정보를 기초로 상기 센서 노드를 배치하는 단계 및 상기 이벤트 전달 성능과 이벤트 감지 성능이 기 설정된 요구 성능을 유지하면서 상기 영역에 배치되는 센서 노드의 개수가 최소화 되도록 시스템 비용 함수를 이용한 SA(Simulated Annealing) 기법을 기초로 상기 배치된 센서 노드를 재배치하는 단계를 포함할 수 있다.,,,,,
"무선 센서 네트워크의 사용자 요구사항을 만족하는 효율적 카메라 센서 배치 방법, 이를 이용한 무선 센서 네트워크 시스템 및 이를 위한 기록 매체(Efficient sensor deployment method in wireless sensor network, wireless sensor network system using the same and recording medium for the same)",['H04W 84/18 H04N 7/18 '],인천대학교 산학협력단 한국과학기술원,1020110038162, 2011.04.25,1012258970000, 2013.01.17,1020120121421, 2012.11.06,특허법인 다해,김훈 최윤범 함명원 이강욱 이호원 조동호,"본 발명은 무선 센서 네트워크의 사용자 요구사항을 만족하는 효율적 카메라 센서 배치 방법, 이를 이용한 무선 센서 네트워크 시스템 및 이를 위한 기록 매체를 공개한다. 본 발명은 도로 감시용 무선 센서 네트워크에서 감시될 도로의 폭과 길이, 카메라 센서의 유효 시야각 및 통신 반경 등을 고려하여, 카메라 센서의 사다리꼴 형태의 유효 센싱 영역을 계산하고, 계산된 유효 센싱 영역을 기초로 하여 카메라 센서를 배치한다. 따라서 주어진 도로 환경에 맞추어 최소의 비용으로 요구되는 이벤트 감지 성능을 보장할 수 있다.",,,,,
소화기가 구비된 대중교통 안전 손잡이 조립체(SAFETY HANDLE ASSEMBLY FOR PUBLIC TRANSPORT INCLUDING A FIRE EXTINGUISHER),"['B60N 3/02 A62C 3/07  .... ', 'B60N 3/02|A62C 3/07|A62C 13/62|A62C 13/76']",인천대학교 산학협력단,1020190022679, 2019.02.26,1021115110000, 2020.05.11, , ,특허법인 남앤남,이민철 배요섭 이재희 박지호,"소화기가 구비된 대중교통 안전 손잡이 조립체가 개시된다. 본 발명의 소화기가 구비된 대중교통 안전 손잡이 조립체는, 고정된 지지바에서 하방으로 연결되고, 하면이 개방된 케이스부; 상기 케이스부 내부에 마련되고, 상단부에 노즐을 갖되 하면 일부가 개방된 본체부; 및 손잡이연결부를 기준으로 하단에 손잡이가 구비되고, 상단에 소화약제를 상기 본체부 내부에 수용하도록 상기 본체부의 하면을 폐쇄하는 피스톤이 형성된 가압부를 포함하고, 상기 케이스부 하단의 양쪽 측면과 상기 손잡이연결부의 일측을 관통하는 제1 안전핀을 해제하고, 상기 가압부를 가압하면 상기 노즐로 상기 소화약제가 방출되어 초기 화재가 진압되도록 이루어지는 것을 특징으로 한다. 본 발명에 의하면, 소화약제를 수용하고 있는 본체부가 제1 안전핀에 의해 케이스부 내부에 마련됨으로써, 화재 발생 시, 케이스부 하단의 양쪽 측면과 손잡이연결부의 일측을 관통하는 제1 안전핀을 해제하고, 가압부를 가압하여 소화약제를 방출시켜 초기 화재가 진압되도록 이루어지는 소화기가 구비된 대중교통 안전 손잡이 조립체를 제공할 수 있게 된다.",,,,,
"무선 센서 네트워크의 이벤트 감지성능을 만족하는 효율적 카메라 센서 배치 방법, 이를 이용한 무선 센서 네트워크 시스템 및 이를 위한 기록 매체(Efficient sensor deployment method in wireless sensor network, wireless sensor network system using the same and recording medium for the same)",['H04W 84/18 H04N 7/18 '],인천대학교 산학협력단 한국과학기술원,1020110038161, 2011.04.25,1012506960000, 2013.03.28,1020120120548, 2012.11.02,특허법인 다해,김훈 최윤범 김용호 함명원 이강욱 이호원 조동호,"무선 센서 네트워크의 이벤트 감지성능을 만족하는 효율적 카메라 센서 배치 방법, 이를 이용한 무선 센서 네트워크 시스템 및 이를 위한 기록 매체를 공개한다. 본 발명은 도로 감시용 무선 센서 네트워크에서 감시될 도로의 폭과 길이, 카메라 센서의 유효 시야각 및 통신 반경 등을 고려하여, 카메라 센서의 사다리꼴 형태의 유효 센싱 영역을 계산하고, 계산된 유효 센싱 영역을 기초로 하여 카메라 센서를 배치한다. 따라서 주어진 도로 환경에 맞추어 최소의 비용으로 완전한 이벤트 감지 성능을 보장할 수 있다.",,,,,
GIS 정보 기반 센서 배치 시뮬레이터(GIS INFORMATION BASED SENSOR DEPLOYMENT SIMULATOR),"['G16C 10/00 G06F 17/10  .... ', 'G16C 10/00|G06F 17/10|G06F 17/30']",한국과학기술원 인천대학교 산학협력단,1020120023323, 2012.03.07,1013294600000, 2013.11.07,1020130102243, 2013.09.17,특허법인 무한,김훈 최윤범 이호원 이수빈 함명원 박준영,"GIS 정보 기반 센서 배치 시뮬레이터가 개시된다. GIS 정보 기반 센서 배치 시뮬레이터는 센서의 성능에 대한 정보와 사용자가 요구하는 이벤트 감지율에 대한 정보를 입력 받고 이를 기초로 센서 배치 결과를 제공하는 인터페이스부, 센서 네트워크를 구성할 영역의 GIS(Geographic Information System) 정보를 기초로 상기 입력 받은 센서의 성능에 대한 정보를 이용하여 각 센서의 이벤트 전달 성능과 이벤트 감지 성능이 만족되도록 상기 센서를 배치하는 초기 배치부 및 상기 사용자가 요구하는 이벤트 감지율을 유지하면서 상기 영역에 배치되는 센서의 개수가 최소화 되도록 시스템 비용 함수를 이용한 SA(Simulated Annealing) 기법을 기초로 상기 배치된 센서를 재배치하는 재배치부를 포함할 수 있다.",,,,,
"지리정보시스템 기반의 센서 초기 배치 방법, 이를 이용한 최적의 센서 배치 방법 및 장치, 및 이를 구현하기 위한 프로그램을 기록한 기록매체(Sensor Initial Deployment Method based GIS, Method and Apparatus for Optimizing Sensor Deployment using the same, and Recording Medium Recorded Program for Realizing the same)","['H04W 16/18 G06F 17/50  .... ', 'H04W 16/18|G06F 17/50|H04W 16/22|H04W 84/18']",인천대학교 산학협력단 한국과학기술원,1020100030217, 2010.04.02,, ,1020110110919, 2011.10.10,특허법인 다해,김훈 오남걸 최윤범 김용호 이호원 함명원 조동호,"본 발명은 무선 센서 네트워크에 있어서 시스템 구축 비용을 최소화하고 시스템 성능을 개선할 수 있는 최적의 센서 배치 방법 및 이를 구현한 장치에 관한 것으로, 지리정보시스템(Geographic Information System, GIS)을 이용하여 센서 배치시 노드간 연결성(Connectivity)과 센싱 반경(Coverage)을 만족하면서 센서의 수를 최소화하여 초기 배치하고, 담금질(Simulated Annealing, SA) 기법을 적용하여 초기 배치된 센서를 재배치함으로써 무선 센서 네트워크의 구축 비용을 절감하는 동시에 시스템 성능을 개선할 수 있다.",,,,,
에너지 소산형 가새댐퍼(BRACE DAMPER FOR ENERGY DISSIPATION),"['E04B 1/98 E04H 9/02  .... ', 'E04B 1/98|E04H 9/02|F16F 15/02']",인천대학교 산학협력단,1020150167422, 2015.11.27,1017245350000, 2017.04.03, , ,특허법인 남앤남,허종완 안준혁 차영욱,"에너지 소산형 가새댐퍼가 개시된다. 본 발명의 에너지 소산형 가새댐퍼는, 제1 평탄면이 형성된 제1 마찰부재; 제1 평탄면과 밀착되는 제2 평탄면이 형성된 제2 마찰부재; 및 제1 마찰부재와 제2 마찰부재를 연결하는 형상기억부재를 포함하고, 형상기억부재는, 제1 마찰부재와 제2 마찰부재가 서로 멀어지면 인장되고 제1 마찰부재와 제2 마찰부재가 서로 가까워지면 좌굴되는 것을 특징으로 한다. 본 발명에 의하면, 구조물에 가해지는 수평하중에 의해 변형이 발생한 후 원형으로 자동복원되도록 이루어지고, 구조물의 손상으로 인한 교체작업 없이도 잔류변형이 방지되어 구조물 복원으로 인한 유지보수 비용이 발생하지 않도록 이루어지는 에너지 소산형 가새댐퍼를 제공할 수 있게 된다.",,,,,
자동복원형 지반격리 면진장치(AUTOMATIC RESTORING TYPE SEISMIC ISOLATOR),"['E04B 1/98 E04H 9/02  .... ', 'E04B 1/98|E04H 9/02|E04G 23/02']",인천대학교 산학협력단,1020150092140, 2015.06.29,1017106120000, 2017.02.21,1020170002126, 2017.01.06,특허법인 남앤남,허종완 정병권,"자동복원형 지반격리 면진장치가 개시된다. 본 발명의 자동복원형 지반격리 면진장치는, 상부구조물과 하부구조물 사이에 개재되는 면진장치로서, 상부구조물의 하단부에 결합되는 상부판; 하부구조물의 상단부에 결합되는 하부판; 상부판과 하부판 사이에 개재되고, 상부판과 하부판 간 수평방향 상대이동시 상부판 및 하부판과 마찰하면서 회전하는 회전강재; 및 상부판과 하부판을 연결하는 복수의 형상기억강봉을 포함하는 것을 특징으로 한다. 본 발명에 의하면, 지진 등 외력 인가 이후 영구변위의 발생이 방지되고, 설계치 이상의 과도한 변위 발생이 안전하게 차단되며, 미끄럼이 발생하지 않더라도 고정단으로서 기능하는 것이 억제되도록 이루어지는 자동복원형 지반격리 면진장치를 제공할 수 있게 된다.",,,,,
변위제어용 엘라스토머 댐퍼(ELASTOMER DAMPER FOR DISPLACEMENT CONTROL),"['F16F 15/00 F16F 15/02  .... ', 'F16F 15/00|F16F 15/02|F16F 15/03|E01D 19/04|E04B 1/98|E04H 9/02']",인천대학교 산학협력단,1020160012299, 2016.02.01,1017378810000, 2017.05.15, , ,특허법인 남앤남,허종완 김영찬,"변위제어용 엘라스토머 댐퍼가 개시된다. 본 발명의 변위제어용 엘라스토머 댐퍼는, 제1 연결판; 외력 인가시 제1 연결판과 평행하게 상대이동하고, 제1 연결판을 기준으로 서로 반대편에 각각 구비되는 제2 연결판; 및 제1 연결판과 제2 연결판 사이에 각각 개재되고, 제1 연결판과 제2 연결판 간 상대이동시 에너지를 흡수하는 댐핑유닛을 포함하고, 댐핑유닛은, 외력 인가시 제1 연결판과 평행하게 상대이동하고, 제1 연결판과 제2 연결판 사이에서 서로 이격되는 복수의 강자성판; 및 제1 연결판과 제2 연결판 간 상대이동을 구속하도록 선택적 자화(magnetization)에 의해 복수의 강자성판 사이를 연결하는 다수의 자성체를 포함하는 것을 특징으로 한다. 본 발명에 의하면, 이미 구조물에 설치된 고무 면진받침이나 납 면진받침을 그대로 사용하면서도 고무 면진받침이나 납 면진받침의 탈락현상을 억제하고, 지진 종료 후 구조물의 유지보수 측면과 면진받침의 재사용 측면을 강화하도록 이루어지는 변위제어용 엘라스토머 댐퍼를 제공할 수 있게 된다.",,,,,
냉간 단조기 폐가공유의 재생방법(REGENERATION METHOD OF WASTE PROCESSING OIL USED IN THE COLD FORMER),"['C10M 175/00 C10G 21/00  .... ', 'C10M 175/00|C10G 21/00|C10G 21/14|C10N 40/20|C10N 40/32']",인천대학교 산학협력단 (주)진우에프티,1020160126076, 2016.09.30,1018407280000, 2018.03.15, , ,차준용,김강우 노종민,"본 발명은 냉간 단조기 폐가공유의 재생방법에 관한 것으로, 더욱 상세하게는 냉간 단조기에 사용된 후 폐기되는 폐가공유 속에 부유하고 있는 미세 분말 형태의 고형분을 용매 희석 단계, 고형분 침강 단계 및 용매 제거/회수 단계로 이루어진 용매 희석 침강법을 통해 효과적으로 제거함으로써, 폐기물로 버려지는 폐가공유를 냉간 단조기에 재사용할 수 있는 고품질로 재생해내는 방법에 관한 것이다.",,,,,
